Identity  : 	id10001
Reference : 	1zcIwhmdeo4
Offset    : 	-5
FV Conf   : 	15.224
ASD Conf  : 	7.857

FRAME 	X 	Y 	W 	H 
000368 	47 	48 	269 	268 
000369 	47 	48 	269 	268 
000370 	47 	18 	269 	268 
000371 	47 	18 	269 	268 
000372 	77 	48 	268 	268 
000373 	77 	48 	268 	268 
000374 	77 	18 	268 	268 
000375 	77 	18 	268 	268 
000376 	77 	18 	268 	268 
000377 	77 	18 	268 	268 
000378 	77 	18 	268 	268 
000379 	62 	18 	268 	268 
000380 	47 	18 	269 	268 
000381 	47 	18 	269 	268 
000382 	57 	18 	269 	268 
000383 	67 	18 	268 	268 
000384 	77 	18 	268 	268 
000385 	77 	18 	268 	268 
000386 	77 	18 	268 	268 
000387 	77 	18 	268 	268 
000388 	77 	18 	268 	268 
000389 	77 	48 	268 	268 
000390 	77 	48 	268 	268 
000391 	77 	48 	268 	268 
000392 	77 	48 	268 	268 
000393 	77 	48 	268 	268 
000394 	77 	48 	268 	268 
000395 	77 	48 	268 	268 
000396 	77 	48 	268 	268 
000397 	77 	48 	268 	268 
000398 	77 	48 	268 	268 
000399 	77 	48 	268 	268 
000400 	77 	48 	268 	268 
000401 	77 	48 	268 	268 
000402 	77 	48 	268 	268 
000403 	77 	48 	268 	268 
000404 	77 	48 	268 	268 
000405 	77 	48 	268 	268 
000406 	77 	48 	268 	268 
000407 	77 	48 	268 	268 
000408 	77 	48 	268 	268 
000409 	77 	48 	268 	268 
000410 	77 	48 	268 	268 
000411 	77 	48 	268 	268 
000412 	77 	48 	268 	268 
000413 	77 	48 	268 	268 
000414 	77 	48 	268 	268 
000415 	77 	48 	268 	268 
000416 	77 	48 	268 	268 
000417 	77 	48 	268 	268 
000418 	77 	48 	268 	268 
000419 	77 	48 	268 	268 
000420 	77 	48 	268 	268 
000421 	77 	48 	268 	268 
000422 	77 	48 	268 	268 
000423 	77 	48 	268 	268 
000424 	77 	48 	268 	268 
000425 	77 	48 	268 	268 
000426 	77 	48 	268 	268 
000427 	77 	48 	268 	268 
000428 	77 	18 	268 	268 
000429 	77 	18 	268 	268 
000430 	77 	18 	268 	268 
000431 	77 	18 	268 	268 
000432 	77 	18 	268 	268 
000433 	77 	48 	268 	268 
000434 	77 	18 	268 	268 
000435 	77 	48 	268 	268 
000436 	77 	18 	268 	268 
000437 	77 	48 	268 	268 
000438 	21 	22 	322 	322 
000439 	21 	22 	322 	322 
000440 	77 	48 	268 	268 
000441 	21 	22 	322 	322 
000442 	77 	48 	268 	268 
000443 	77 	18 	268 	268 
000444 	77 	48 	268 	268 
000445 	77 	18 	268 	268 
000446 	21 	22 	322 	322 
000447 	77 	48 	268 	268 
000448 	21 	22 	322 	322 
000449 	47 	48 	269 	268 
000450 	47 	48 	269 	268 
000451 	47 	48 	269 	268 
000452 	21 	22 	322 	322 
000453 	47 	48 	269 	268 
000454 	47 	48 	269 	268 
000455 	47 	48 	269 	268 
000456 	47 	48 	269 	268 
000457 	47 	48 	269 	268 
000458 	47 	48 	269 	268 
000459 	47 	48 	269 	268 
000460 	47 	48 	269 	268 
000461 	47 	48 	269 	268 
000462 	47 	48 	269 	268 
000463 	47 	48 	269 	268 
000464 	47 	48 	269 	268 
000465 	47 	48 	269 	268 
000466 	47 	48 	269 	268 
000467 	47 	48 	269 	268 
000468 	17 	48 	269 	268 
000469 	17 	48 	269 	268 
000470 	17 	48 	269 	268 
000471 	17 	48 	269 	268 
000472 	17 	48 	269 	268 
000473 	17 	48 	269 	268 
000474 	17 	48 	269 	268 
000475 	17 	48 	269 	268 
000476 	17 	48 	269 	268 
